Marine_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,b_g,b_r,swir22_swir16,mci,ndci,nbi,ndmi,bsi,awei,tc_wetness,y,x
1.0,0.1078,0.13040000000000002,0.1208,0.14250000000000002,0.18664694,3.9926113e-06,2.221287e-05,0.0916,0.061500000000000006,0.06860000000000001,0.047400000000000005,0.0799,0.11760000000000001,0.0931,0.0974,0.35007105637138797,-0.04433858556247709,-0.2037867463876433,-0.09487825356842992,0.14133306238569396,-0.09487825356842992,0.1386336396324411,0.847719298245614,0.9263803680981594,0.6909620991253644,0.9166666666666666,-0.05161290322580647,-0.2222222222222222,0.2222222222222222,-0.12500000000000003,0.2243000000000001,0.10079834000000006,-1947955.0,3133835.0
1.0,0.1107,0.1386,0.13140000000000002,0.15410000000000001,0.23418245,3.165072e-06,2.4238683e-05,0.11,0.069,0.08070000000000001,0.0555,0.0897,0.13920000000000002,0.10990000000000001,0.11510000000000001,0.3126064735945486,-0.05295524427741719,-0.18860244233378567,-0.11191335740072199,0.1443875418060201,-0.11191335740072199,0.16389728096676737,0.8526930564568462,0.9480519480519481,0.6877323420074349,0.7952586206896551,0.002159827213822956,-0.1567398119122257,0.1567398119122257,-0.11004126547455305,0.24342500000000006,0.11014068000000006,-1947965.0,3133905.0
1.0,0.1102,0.1378,0.1327,0.15430000000000002,0.22628662,3.0327021e-06,2.2525548e-05,0.10980000000000001,0.0776,0.0839,0.058300000000000005,0.0912,0.1394,0.111,0.115,0.29554995801847195,-0.05648750427935643,-0.18535060294774455,-0.11129032258064515,0.14621714892487395,-0.11129032258064515,0.16672967863894145,0.8600129617627997,0.962989840348331,0.6948748510131109,0.7905308464849355,0.005772005772005737,-0.1354971664090675,0.1354971664090675,-0.10660592255125287,0.24187500000000006,0.10768205000000004,-1947975.0,3133915.0
1.0,0.11,0.13620000000000002,0.12510000000000002,0.14930000000000002,0.22044267,4.144907e-06,2.4891084e-05,0.1019,0.0609,0.07880000000000001,0.0541,0.0813,0.13090000000000002,0.1023,0.10790000000000001,0.30907496711968435,-0.04588441330998248,-0.21220930232558147,-0.10641754670999193,0.14035087719298248,-0.10641754670999193,0.15156189741612036,0.8379102478231748,0.9185022026431718,0.6865482233502538,0.8403361344537814,-0.0198427555222763,-0.16525423728813554,0.16525423728813554,-0.10531264692054537,0.22867500000000007,0.10395625000000003,-1947945.0,3133835.0
1.0,0.10600000000000001,0.12940000000000002,0.1217,0.14300000000000002,0.21166986,3.2086043e-06,2.5620853e-05,0.1013,0.0601,0.07690000000000001,0.0536,0.08220000000000001,0.1273,0.10070000000000001,0.10590000000000001,0.3005911778080946,-0.049926578560939794,-0.19372241294752324,-0.0994052676295667,0.1398442737070077,-0.0994052676295667,0.14859437751004018,0.851048951048951,0.9404945904173105,0.6970091027308192,0.8326787117046348,-0.008180755746007082,-0.15910333515582284,0.15910333515582284,-0.10883856829802771,0.2182500000000001,0.09903129999999999,-1947935.0,3133795.0
1.0,0.10840000000000001,0.132,0.12480000000000001,0.1458,0.20533624,3.7590205e-06,2.4249019e-05,0.0978,0.0673,0.0743,0.0512,0.08700000000000001,0.12560000000000002,0.0993,0.10350000000000001,0.32485233984552475,-0.04967602591792658,-0.17847025495750707,-0.09816971713810314,0.14413106594773953,-0.09816971713810314,0.14712824547600314,0.8559670781893004,0.9454545454545454,0.6890982503364738,0.8630573248407643,-0.024844720496894363,-0.18664477285166942,0.18664477285166942,-0.12007684918347747,0.22805000000000003,0.10295044000000002,-1947955.0,3133845.0
1.0,0.1144,0.1431,0.1366,0.1588,0.23374777,3.1487225e-06,2.3649207e-05,0.1126,0.07440000000000001,0.0869,0.0594,0.08900000000000001,0.1409,0.11230000000000001,0.1169,0.2926332926332926,-0.05200397482610133,-0.21099290780141838,-0.11145631067961166,0.1506589351607802,-0.11145631067961166,0.1625183016105417,0.8602015113350127,0.954577218728162,0.6835443037974683,0.8119233498935415,-0.007746478873239462,-0.13661202185792348,0.13661202185792348,-0.10694597574421165,0.24650000000000005,0.10936889999999999,-1947965.0,3133895.0
1.0,0.1395,0.1326,0.11320000000000001,0.1312,0.086021185,6.5578223e-07,7.888056e-06,0.14980000000000002,0.1208,0.1194,0.07300000000000001,0.096,0.155,0.1487,0.1506,0.04708699122106944,0.00530705079605756,-0.08221797323135759,0.025358324145534794,0.19901482368106066,0.025358324145534794,-0.030661248614702624,0.8628048780487805,0.8536953242835597,0.611390284757119,0.9000000000000001,0.07788595271210016,-0.07763615295480883,0.07763615295480883,-0.10277111062622742,0.0711,0.08012755999999997,-1944435.0,3133495.0
5.0,0.045200000000000004,0.09720000000000001,0.11120000000000001,0.1287,0.099508785,3.1659395e-06,1.829775e-05,0.0414,0.0302,0.033100000000000004,0.0303,0.0907,0.0946,0.049600000000000005,0.0533,0.5908529048207664,-0.1394422310756972,-0.1015354135710748,-0.36516853932584264,0.01988922457200404,-0.36516853932584264,0.4801610120759057,0.864024864024864,1.1440329218106995,0.9154078549848942,0.47780126849894294,-0.01355578727841504,-0.15453384418901658,0.15453384418901658,-0.10179640718562875,0.32307500000000006,0.10399956000000002,-1946155.0,3133985.0
5.0,0.041800000000000004,0.09230000000000001,0.10540000000000001,0.1213,0.09338048,2.837199e-06,1.9028934e-05,0.0392,0.0402,0.0327,0.029400000000000003,0.0867,0.08660000000000001,0.045700000000000005,0.048600000000000004,0.5753246753246755,-0.13576779026217226,-0.09734513274336287,-0.3765846383296048,0.015153397093528757,-0.3765846383296048,0.48743102391171056,0.8689200329760923,1.14192849404117,0.8990825688073395,0.4826789838337182,-0.03186137506987142,-0.12214765100671145,0.12214765100671145,-0.09483079211602824,0.30425,0.09584962000000001,-1946005.0,3134005.0
